kingdom,phylum,class,order,family,genus,species,common_name,binomial,bird,full_code
Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,javanicus,Javan Myna,Acridotheres javanicus,TRUE,Acridotheres javanicus_Javan Myna
Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,tristis,Common Myna,Acridotheres tristis,TRUE,Acridotheres tristis_Common Myna
Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,crepitans,Northern Cricket Frog,Acris crepitans,FALSE,Acris crepitans_Northern Cricket Frog
Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,gryllus,Southern Cricket Frog,Acris gryllus,FALSE,Acris gryllus_Southern Cricket Frog
Animalia,Chordata,Aves,Passeriformes,Furnariidae,Acrobatornis,fonsecai,Pink-legged Graveteiro,Acrobatornis fonsecai,TRUE,Acrobatornis fonsecai_Pink-legged Graveteiro
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,agricola,Paddyfield Warbler,Acrocephalus agricola,TRUE,Acrocephalus agricola_Paddyfield Warbler
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,arundinaceus,Great Reed Warbler,Acrocephalus arundinaceus,TRUE,Acrocephalus arundinaceus_Great Reed Warbler
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,australis,Australian Reed Warbler,Acrocephalus australis,TRUE,Acrocephalus australis_Australian Reed Warbler
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,baeticatus,African Reed Warbler,Acrocephalus baeticatus,TRUE,Acrocephalus baeticatus_African Reed Warbler
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,bistrigiceps,Black-browed Reed Warbler,Acrocephalus bistrigiceps,TRUE,Acrocephalus bistrigiceps_Black-browed Reed Warbler
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,concinens,Blunt-winged Warbler,Acrocephalus concinens,TRUE,Acrocephalus concinens_Blunt-winged Warbler
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,dumetorum,Blyth's Reed Warbler,Acrocephalus dumetorum,TRUE,Acrocephalus dumetorum_Blyth's Reed Warbler
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,gracilirostris,Lesser Swamp Warbler,Acrocephalus gracilirostris,TRUE,Acrocephalus gracilirostris_Lesser Swamp Warbler
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,griseldis,Basra Reed Warbler,Acrocephalus griseldis,TRUE,Acrocephalus griseldis_Basra Reed Warbler
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,melanopogon,Moustached Warbler,Acrocephalus melanopogon,TRUE,Acrocephalus melanopogon_Moustached Warbler
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,newtoni,Madagascar Swamp Warbler,Acrocephalus newtoni,TRUE,Acrocephalus newtoni_Madagascar Swamp Warbler
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,orientalis,Oriental Reed Warbler,Acrocephalus orientalis,TRUE,Acrocephalus orientalis_Oriental Reed Warbler
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,paludicola,Aquatic Warbler,Acrocephalus paludicola,TRUE,Acrocephalus paludicola_Aquatic Warbler
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,palustris,Marsh Warbler,Acrocephalus palustris,TRUE,Acrocephalus palustris_Marsh Warbler
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,rufescens,Greater Swamp Warbler,Acrocephalus rufescens,TRUE,Acrocephalus rufescens_Greater Swamp Warbler
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,schoenobaenus,Sedge Warbler,Acrocephalus schoenobaenus,TRUE,Acrocephalus schoenobaenus_Sedge Warbler
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,scirpaceus,Eurasian Reed Warbler,Acrocephalus scirpaceus,TRUE,Acrocephalus scirpaceus_Eurasian Reed Warbler
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,stentoreus,Clamorous Reed Warbler,Acrocephalus stentoreus,TRUE,Acrocephalus stentoreus_Clamorous Reed Warbler
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,tangorum,Manchurian Reed Warbler,Acrocephalus tangorum,TRUE,Acrocephalus tangorum_Manchurian Reed Warbler
Animalia,Chordata,Aves,Passeriformes,Rhinocryptidae,Acropternis,orthonyx,Ocellated Tapaculo,Acropternis orthonyx,TRUE,Acropternis orthonyx_Ocellated Tapaculo
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Actenoides,concretus,Rufous-collared Kingfisher,Actenoides concretus,TRUE,Actenoides concretus_Rufous-collared Kingfisher
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Actenoides,lindsayi,Spotted Kingfisher,Actenoides lindsayi,TRUE,Actenoides lindsayi_Spotted Kingfisher
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Actenoides,monachus,Green-backed Kingfisher,Actenoides monachus,TRUE,Actenoides monachus_Green-backed Kingfisher
Metazoa,Chordata,Aves,Passeriformes,Leiothrichidae,Actinodura,cyanouroptera,Blue-winged Minla,Actinodura cyanouroptera,TRUE,Actinodura cyanouroptera_Blue-winged Minla
Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Actinodura,egertoni,Rusty-fronted Barwing,Actinodura egertoni,TRUE,Actinodura egertoni_Rusty-fronted Barwing
Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Actinodura,nipalensis,Hoary-throated Barwing,Actinodura nipalensis,TRUE,Actinodura nipalensis_Hoary-throated Barwing
Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Actinodura,ramsayi,Spectacled Barwing,Actinodura ramsayi,TRUE,Actinodura ramsayi_Spectacled Barwing
Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Actinodura,strigula,Chestnut-tailed Minla,Actinodura strigula,TRUE,Actinodura strigula_Chestnut-tailed Minla
Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Actinodura,waldeni,Streak-throated Barwing,Actinodura waldeni,TRUE,Actinodura waldeni_Streak-throated Barwing
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,hypoleucos,Common Sandpiper,Actitis hypoleucos,TRUE,Actitis hypoleucos_Common Sandpiper
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,macularius,Spotted Sandpiper,Actitis macularius,TRUE,Actitis macularius_Spotted Sandpiper
Animalia,Chordata,Aves,Charadriiformes,Jacanidae,Actophilornis,africanus,African Jacana,Actophilornis africanus,TRUE,Actophilornis africanus_African Jacana
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Adelomyia,melanogenys,Speckled Hummingbird,Adelomyia melanogenys,TRUE,Adelomyia melanogenys_Speckled Hummingbird
Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,clarkii,Clark's Grebe,Aechmophorus clarkii,TRUE,Aechmophorus clarkii_Clark's Grebe
Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis,Western Grebe,Aechmophorus occidentalis,TRUE,Aechmophorus occidentalis_Western Grebe
Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,caudatus,Long-tailed Tit,Aegithalos caudatus,TRUE,Aegithalos caudatus_Long-tailed Tit
Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,concinnus,Black-throated Tit,Aegithalos concinnus,TRUE,Aegithalos concinnus_Black-throated Tit
Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,glaucogularis,Silver-throated Tit,Aegithalos glaucogularis,TRUE,Aegithalos glaucogularis_Silver-throated Tit
Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,iouschistos,Black-browed Tit,Aegithalos iouschistos,TRUE,Aegithalos iouschistos_Black-browed Tit
Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,niveogularis,White-throated Tit,Aegithalos niveogularis,TRUE,Aegithalos niveogularis_White-throated Tit
Animalia,Chordata,Aves,Passeriformes,Aegithinidae,Aegithina,nigrolutea,White-tailed Iora,Aegithina nigrolutea,TRUE,Aegithina nigrolutea_White-tailed Iora
Animalia,Chordata,Aves,Passeriformes,Aegithinidae,Aegithina,tiphia,Common Iora,Aegithina tiphia,TRUE,Aegithina tiphia_Common Iora
Animalia,Chordata,Aves,Passeriformes,Aegithinidae,Aegithina,viridissima,Green Iora,Aegithina viridissima,TRUE,Aegithina viridissima_Green Iora
Animalia,Chordata,Aves,Strigiformes,Strigidae,Aegolius,acadicus,Northern Saw-whet Owl,Aegolius acadicus,TRUE,Aegolius acadicus_Northern Saw-whet Owl
Animalia,Chordata,Aves,Strigiformes,Strigidae,Aegolius,funereus,Boreal Owl,Aegolius funereus,TRUE,Aegolius funereus_Boreal Owl
Animalia,Chordata,Aves,Strigiformes,Strigidae,Aegolius,harrisii,Buff-fronted Owl,Aegolius harrisii,TRUE,Aegolius harrisii_Buff-fronted Owl
Animalia,Chordata,Aves,Strigiformes,Strigidae,Aegolius,ridgwayi,Unspotted Saw-whet Owl,Aegolius ridgwayi,TRUE,Aegolius ridgwayi_Unspotted Saw-whet Owl
Animalia,Chordata,Aves,Apodiformes,Aegothelidae,Aegotheles,cristatus,Australian Owlet-nightjar,Aegotheles cristatus,TRUE,Aegotheles cristatus_Australian Owlet-nightjar
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aegypius,monachus,Cinereous Vulture,Aegypius monachus,TRUE,Aegypius monachus_Cinereous Vulture
Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,bartschi,Mariana Swiftlet,Aerodramus bartschi,TRUE,Aerodramus bartschi_Mariana Swiftlet
Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,fuciphagus,White-nest Swiftlet,Aerodramus fuciphagus,TRUE,Aerodramus fuciphagus_White-nest Swiftlet
Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,maximus,Black-nest Swiftlet,Aerodramus maximus,TRUE,Aerodramus maximus_Black-nest Swiftlet
Animalia,Chordata,Aves,Apodiformes,Apodidae,Aeronautes,andecolus,Andean Swift,Aeronautes andecolus,TRUE,Aeronautes andecolus_Andean Swift
Animalia,Chordata,Aves,Apodiformes,Apodidae,Aeronautes,montivagus,White-tipped Swift,Aeronautes montivagus,TRUE,Aeronautes montivagus_White-tipped Swift
Animalia,Chordata,Aves,Apodiformes,Apodidae,Aeronautes,saxatalis,White-throated Swift,Aeronautes saxatalis,TRUE,Aeronautes saxatalis_White-throated Swift
Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,pusilla,Least Auklet,Aethia pusilla,TRUE,Aethia pusilla_Least Auklet
Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,pygmaea,Whiskered Auklet,Aethia pygmaea,TRUE,Aethia pygmaea_Whiskered Auklet
Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Aethopyga,christinae,Fork-tailed Sunbird,Aethopyga christinae,TRUE,Aethopyga christinae_Fork-tailed Sunbird
Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Aethopyga,gouldiae,Mrs. Gould's Sunbird,Aethopyga gouldiae,TRUE,Aethopyga gouldiae_Mrs. Gould's Sunbird
Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Aethopyga,ignicauda,Fire-tailed Sunbird,Aethopyga ignicauda,TRUE,Aethopyga ignicauda_Fire-tailed Sunbird
Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Aethopyga,nipalensis,Green-tailed Sunbird,Aethopyga nipalensis,TRUE,Aethopyga nipalensis_Green-tailed Sunbird
Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Aethopyga,saturata,Black-throated Sunbird,Aethopyga saturata,TRUE,Aethopyga saturata_Black-throated Sunbird
